City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,tapes,-30.6733,-51.3958,16.99,59,0,3.87,BR,1696184019
137,stanley,54.868,-1.6985,15.44,84,20,3.6,GB,1696184146
138,itupiranga,-5.1347,-49.3267,35.18,28,34,1.03,BR,1696184146
139,carutapera,-1.195,-46.02,30.61,61,63,5.79,BR,1696184146
140,belomorsk,64.5232,34.7668,8.3,90,100,7.13,RU,1696184146
141,vernon,50.2581,-119.2691,12.34,73,91,1.54,CA,1696184146
142,ippy,6.2679,21.2247,23.81,88,13,1.89,CF,1696184146
143,punta arenas,-53.15,-70.9167,5.06,60,40,15.95,CL,1696183926
144,baglung,28.2719,83.5898,20.7,87,35,2.29,NP,1696184147
145,nampa,43.5407,-116.5635,10.86,90,75,4.63,US,1696184011
146,pisco,-13.7,-76.2167,21.68,78,0,4.12,PE,1696184147
147,hithadhoo,-0.6,73.0833,27.94,72,80,5.94,MV,1696184147
148,lata,40.1629,-8.3327,24.28,47,13,1.87,PT,1696184147
149,nar'yan-mar,67.6713,53.087,10.62,96,100,3.58,RU,1696184147
150,cockburn town,21.4612,-71.1419,29.15,70,92,5.97,TC,1696184148
151,mitu,1.1983,-70.1733,34.77,45,62,0.96,CO,1696184148
152,port mathurin,-19.6833,63.4167,23.26,76,69,8.81,MU,1696184148
153,haiku-pauwela,20.9219,-156.3051,26.81,66,20,5.14,US,1696184148
154,iskateley,67.6803,53.1512,10.57,96,100,3.58,RU,1696184148
155,vodnyy,63.5046,53.4095,12.45,92,100,5.78,RU,1696184148
156,ouargla,31.9493,5.325,29.04,28,0,4.12,DZ,1696184148
157,ibi,38.6253,-0.5723,22.97,43,11,1.91,ES,1696184148
158,hilo,19.7297,-155.09,25.9,84,75,3.6,US,1696184149
159,kodiak,57.79,-152.4072,8.73,93,100,6.69,US,1696183982
160,mushie,-3.0167,16.9,25.49,80,66,0.82,CD,1696184149
161,kijang,35.2442,129.2139,12.85,57,8,2.27,KR,1696184149
162,palmer,42.1584,-72.3287,25.04,55,20,4.12,US,1696184149
163,waingapu,-9.6567,120.2641,24.25,84,39,2.11,ID,1696184149
164,yarmouth,41.7057,-70.2286,20.03,81,100,8.23,US,1696184150
165,isna,25.2934,32.554,34.19,23,6,9.54,EG,1696184150
166,freetown,8.484,-13.2299,26.84,83,75,3.09,SL,1696183872
167,inirida,3.8653,-67.9239,35.23,46,100,1.48,CO,1696184150
168,keflavik,64.0049,-22.5624,10.95,81,0,4.63,IS,1696184151
169,bikenibeu village,1.3673,173.1241,25.98,94,20,0.0,KI,1696184151
170,kalmunai,7.4167,81.8167,25.64,86,100,6.43,LK,1696184151
171,duong dong,10.2167,103.9667,27.0,100,40,4.12,VN,1696184152
172,tolanaro,-25.0319,46.9987,22.93,82,14,2.12,MG,1696184152
173,brookings,44.3114,-96.7984,32.43,50,0,9.26,US,1696183904
174,chatham,51.3789,0.5279,21.25,80,100,0.89,GB,1696184152
175,invercargill,-46.4,168.35,13.34,79,74,6.71,NZ,1696184152
176,jamestown,42.097,-79.2353,26.12,58,40,3.09,US,1696184142
177,nelson bay,-32.7167,152.15,19.44,76,58,4.92,AU,1696184152
178,vilyuysk,63.7553,121.6247,5.56,83,99,1.79,RU,1696184153
179,fort bragg,35.139,-79.006,27.17,58,75,4.63,US,1696184153
180,karasu,41.071,30.7854,18.76,89,99,3.2,TR,1696184153
181,taoudenni,22.6783,-3.9836,35.92,11,33,0.62,ML,1696184153
182,el abiodh sidi cheikh,32.893,0.5484,26.68,23,0,3.85,DZ,1696184153
183,carnarvon,-24.8667,113.6333,19.58,65,22,7.99,AU,1696184153
184,bandon,51.7469,-8.7425,13.77,90,87,2.94,IE,1696184154
185,hawaiian paradise park,19.5933,-154.9731,24.94,92,75,3.6,US,1696184154
186,ta`u,-14.2336,-169.5144,26.73,81,25,8.96,AS,1696184154
187,san juan de miraflores,-12.1629,-76.9635,21.29,76,78,4.15,PE,1696184154
188,zhuanghe,39.7008,122.9911,14.7,44,48,2.28,CN,1696184154
189,boyolangu,-8.1181,111.8935,21.74,94,19,0.46,ID,1696184154
190,tanout,14.9709,8.8879,29.07,43,42,7.19,NE,1696184154
191,saint-philippe,-21.3585,55.7679,22.77,74,5,3.04,RE,1696184154
192,sitka,57.0531,-135.33,11.94,82,100,3.09,US,1696184155
193,la passe,45.5549,-0.8967,28.13,53,29,1.57,FR,1696184155
194,morant bay,17.8815,-76.4093,35.39,68,69,2.74,JM,1696184155
195,kambove,-10.8764,26.5969,26.85,26,71,1.59,CD,1696184155
196,kapit,2.0167,112.9333,22.43,99,100,0.22,MY,1696184155
197,nyandoma,61.669,40.1991,9.69,89,94,6.13,RU,1696184155
198,nova sintra,14.8667,-24.7167,24.16,77,57,5.54,CV,1696184156
199,devgadh bariya,22.7,73.9,25.98,54,12,0.55,IN,1696184156
200,whitehorse,60.7161,-135.0538,4.34,94,99,9.39,CA,1696184098
201,san patricio,28.017,-97.5169,30.92,62,39,6.23,US,1696184156
202,kapuskasing,49.4169,-82.4331,19.05,77,75,4.63,CA,1696184104
203,saipan,15.1355,145.701,27.39,94,20,2.06,MP,1696184156
204,port hedland,-20.3167,118.5667,22.03,78,3,4.12,AU,1696184156
205,taungoo,18.9333,96.4333,23.3,99,99,2.02,MM,1696184156
206,praia da vitoria,38.7333,-27.0667,22.09,78,20,3.88,PT,1696184157
207,katsuren-haebaru,26.3369,127.8719,28.01,86,0,5.14,JP,1696184157
208,ouled mimoun,34.9047,-1.0339,21.01,32,2,3.37,DZ,1696184157
209,kizner,56.2749,51.508,14.19,64,17,4.62,RU,1696184157
210,waveland,30.2869,-89.3762,32.79,57,0,5.94,US,1696184157
211,jiutai,44.1525,125.8328,9.19,55,25,3.02,CN,1696184157
212,bamboo flat,11.7,92.7167,26.05,89,75,1.03,IN,1696184158
213,ad dilam,23.9915,47.1627,32.23,16,0,3.63,SA,1696184158
214,ola,59.5833,151.2833,3.01,88,100,1.01,RU,1696184158
215,port lincoln,-34.7333,135.8667,12.23,79,0,2.68,AU,1696184158
216,tongouson,5.0214,120.1328,28.93,77,98,7.46,PH,1696184158
217,gering,41.8258,-103.6605,28.71,35,0,6.17,US,1696184158
218,berdigestyakh,62.0989,126.6992,0.72,78,83,1.79,RU,1696184158
219,lahij,13.1667,44.5833,28.92,57,1,2.11,YE,1696184159
220,papao,-17.75,-149.55,26.82,83,7,9.43,PF,1696184159
221,atafu village,-8.5421,-172.5159,28.06,71,50,0.62,TK,1696184159
222,macaubas,-13.0194,-42.6986,36.76,19,1,1.18,BR,1696184159
223,timimoun,29.2639,0.231,32.21,17,0,7.72,DZ,1696184159
224,stephenville,32.2207,-98.2023,31.63,38,0,4.12,US,1696184159
225,vilyuchinsk,52.9306,158.4028,4.15,82,100,1.02,RU,1696184159
226,tsiombe,-25.3,45.4833,22.29,77,2,1.24,MG,1696184160
227,holualoa,19.6228,-155.9522,25.91,79,20,3.09,US,1696184160
228,yichang,30.7144,111.2847,19.27,86,100,0.88,CN,1696184160
229,al kharijah,25.4514,30.5464,31.32,29,52,6.76,EG,1696184160
230,north bend,43.4065,-124.2243,15.09,88,0,1.54,US,1696184160
231,mount gambier,-37.8333,140.7667,4.34,93,0,2.18,AU,1696184160
232,arraial do cabo,-22.9661,-42.0278,21.92,88,75,3.6,BR,1696184160
233,kailua-kona,19.6406,-155.9956,27.98,78,20,3.09,US,1696184160
234,pointe-noire,-4.7761,11.8635,25.04,88,40,3.6,CG,1696184161
235,fortuna,40.5982,-124.1573,16.31,82,0,6.17,US,1696184161
236,cheremukhovo,60.3484,59.9851,12.2,69,96,4.47,RU,1696184161
237,chifeng,42.2683,118.9636,10.85,33,0,2.88,CN,1696184161
238,klaksvik,62.2266,-6.589,11.51,88,72,10.47,FO,1696184161
239,gadzhiyevo,69.2551,33.3362,6.23,80,97,5.29,RU,1696184161
240,kalpatta,11.6106,76.0822,19.3,99,100,0.99,IN,1696184162
241,wailua homesteads,22.0669,-159.378,26.44,81,100,5.14,US,1696184162
242,juneau,58.3019,-134.4197,9.01,95,100,8.75,US,1696184162
243,jaciara,-15.9653,-54.9683,30.72,50,74,4.67,BR,1696184162
244,paita,-5.0892,-81.1144,23.67,70,66,6.64,PE,1696184162
245,constantia,44.1833,28.65,20.39,53,23,3.23,RO,1696184162
246,fisterra,42.9049,-9.2629,22.23,80,66,3.91,ES,1696184162
247,conduaga,8.862,117.4893,26.0,91,100,4.93,PH,1696184163
248,heihe,50.2441,127.4902,5.7,80,92,2.42,CN,1696184163
249,angaur state,6.906,134.13,28.08,80,46,3.61,PW,1696184163
250,codrington,-38.2667,141.9667,4.84,92,0,3.57,AU,1696184163
251,susuman,62.7833,148.1667,-2.79,92,11,1.34,RU,1696184163
252,mount pearl,47.5166,-52.7813,19.14,62,75,8.23,CA,1696184163
